ts,pitcher,line,profit_pct,guaranteed_profit,over_book,over_american,under_book,under_american,remaining_quota
2026-06-17T18:34:50Z,Nolan McLean,6.5,12.444,124.44,pinnacle,120,espnbet,130,224
2026-06-17T18:34:50Z,Sandy Alcantara,4.5,1.12,11.2,fliff,115,pinnacle,-110,224
