date,pitcher,line,over_odds,under_odds
2026-06-15,669372,4.5,-140,110
2026-06-15,683003,4.5,-133,104
2026-06-15,607259,3.5,106,-136
2026-06-15,641778,3.5,130,-166
2026-06-16,666200,6.5,-104,-122
2026-06-16,663969,3.5,-153,120
2026-06-16,656302,6.5,-135,106
2026-06-16,801139,4.5,-157,123
2026-06-16,656492,5.5,109,-139
2026-06-16,608379,4.5,130,-166
2026-06-16,663436,5.5,-109,-117
2026-06-16,543037,5.5,-107,-119
2026-06-16,673540,4.5,-146,114
2026-06-16,663903,4.5,-107,-119
2026-06-16,656550,4.5,-118,-108
2026-06-16,605288,3.5,120,-153
2026-06-16,688107,5.5,125,-160
2026-06-16,677944,4.5,109,-139
2026-06-16,650633,4.5,104,-132
2026-06-16,669467,3.5,-137,108
2026-06-16,665795,5.5,100,-127
2026-06-16,663372,3.5,-118,-108
2026-06-16,805673,4.5,-110,-116
2026-06-16,677958,4.5,110,-141
2026-06-16,686613,6.5,-129,101
2026-06-16,664285,4.5,-108,-118
2026-06-16,672282,5.5,120,-154
2026-06-16,518876,4.5,108,-138
2026-06-16,678022,4.5,-148,116
2026-06-16,656605,4.5,124,-158
2026-06-16,669302,6.5,-142,111
2026-06-16,687064,4.5,109,-139
2026-06-16,656876,5.5,108,-138
2026-06-16,680736,4.5,129,-166
2026-06-17,687562,3.5,137,-176
2026-06-17,607074,5.5,-148,116
2026-06-17,641743,4.5,-108,-118
2026-06-17,687931,3.5,-152,119
2026-06-17,702275,3.5,-135,106
2026-06-17,668909,6.5,-108,-118
2026-06-17,687075,4.5,-137,107
2026-06-17,665871,3.5,-159,125
2026-06-17,677952,5.5,-109,-117
2026-06-17,650644,3.5,101,-129
2026-06-17,669923,5.5,-159,125
2026-06-17,680694,5.5,100,-128
