pitcher,name,starts,bf,k_per_pa,proj_mean_k,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,fair_4plus,fair_5plus,fair_6plus,fair_7plus,fair_8plus,fair_9plus
622491,"Castillo, Luis",75,24,0.2268,5.44,0.8272,0.6632,0.4707,0.2921,0.1573,0.0733,1.21,1.51,2.12,3.42,6.36,13.64
656492,"Griffin, Foster",14,24,0.2252,5.4,0.8226,0.6564,0.4633,0.2855,0.1527,0.0706,1.22,1.52,2.16,3.5,6.55,14.16
669456,"Bieber, Shane",9,22,0.2457,5.4,0.8261,0.6595,0.4641,0.2839,0.1497,0.0678,1.21,1.52,2.15,3.52,6.68,14.76
605540,"Woodruff, Brandon",17,21,0.2571,5.4,0.8274,0.6602,0.4634,0.2818,0.1472,0.0657,1.21,1.51,2.16,3.55,6.79,15.22
700712,"Ureña, Walbert",10,24,0.2246,5.39,0.8209,0.654,0.4606,0.2832,0.151,0.0697,1.22,1.53,2.17,3.53,6.62,14.36
691587,"Pérez, Eury",31,21,0.2566,5.39,0.8262,0.6583,0.4614,0.2801,0.146,0.065,1.21,1.52,2.17,3.57,6.85,15.38
656550,"Holmes, Grant",43,23,0.234,5.38,0.8214,0.6537,0.459,0.2807,0.1484,0.0676,1.22,1.53,2.18,3.56,6.74,14.79
675911,"Strider, Spencer",33,22,0.2437,5.36,0.8207,0.6516,0.4555,0.2764,0.1445,0.0648,1.22,1.53,2.2,3.62,6.92,15.43
801139,"Tolle, Payton",12,22,0.2439,5.36,0.8212,0.6523,0.4562,0.277,0.1449,0.0651,1.22,1.53,2.19,3.61,6.9,15.37
676974,"Meyer, Max",38,23,0.2325,5.35,0.817,0.6473,0.4521,0.2747,0.1443,0.0653,1.22,1.54,2.21,3.64,6.93,15.32
665795,"Cabrera, Edward",58,22,0.2428,5.34,0.8182,0.648,0.4515,0.273,0.1421,0.0635,1.22,1.54,2.21,3.66,7.03,15.75
676477,"Whitlock, Garrett",4,20,0.267,5.34,0.8225,0.6516,0.4522,0.2707,0.1384,0.0601,1.22,1.53,2.21,3.69,7.22,16.64
450203,"Morton, Charlie",60,23,0.2313,5.32,0.8137,0.6426,0.447,0.2704,0.1413,0.0636,1.23,1.56,2.24,3.7,7.08,15.73
677960,"Weathers, Ryan",36,23,0.2307,5.31,0.8118,0.64,0.4441,0.2679,0.1396,0.0626,1.23,1.56,2.25,3.73,7.16,15.97
676962,"Brown, Ben",41,21,0.2529,5.31,0.8163,0.6439,0.4456,0.2666,0.1368,0.0599,1.23,1.55,2.24,3.75,7.31,16.7
686790,"McDonald, Trevor",10,24,0.2213,5.31,0.8109,0.6396,0.4449,0.2697,0.1416,0.0642,1.23,1.56,2.25,3.71,7.06,15.56
690986,"Harrison, Kyle",44,22,0.2408,5.3,0.8125,0.6398,0.4427,0.2655,0.137,0.0606,1.23,1.56,2.26,3.77,7.3,16.49
657376,"Schmidt, Clarke",30,22,0.2403,5.29,0.811,0.6377,0.4404,0.2635,0.1357,0.0599,1.23,1.57,2.27,3.79,7.37,16.69
640462,"Puk, A.J.",4,20,0.263,5.26,0.8119,0.6363,0.4357,0.2568,0.1291,0.0551,1.23,1.57,2.3,3.89,7.75,18.16
607625,"Lugo, Seth",72,25,0.2101,5.25,0.8018,0.6277,0.4332,0.2607,0.1362,0.0616,1.25,1.59,2.31,3.84,7.34,16.23
676710,"Crawford, Kutter",32,23,0.2283,5.25,0.8047,0.6299,0.4333,0.2588,0.1334,0.0591,1.24,1.59,2.31,3.86,7.5,16.91
647336,"Soroka, Michael",46,22,0.2384,5.25,0.8057,0.6301,0.4322,0.2567,0.1311,0.0574,1.24,1.59,2.31,3.9,7.63,17.43
682243,"Miller, Bryce",55,23,0.2283,5.25,0.8047,0.6299,0.4333,0.2588,0.1334,0.0591,1.24,1.59,2.31,3.86,7.5,16.91
701542,"Warren, Will",51,22,0.238,5.24,0.8043,0.6282,0.4302,0.255,0.13,0.0567,1.24,1.59,2.32,3.92,7.7,17.62
674003,"Bradford, Cody",14,23,0.2272,5.22,0.8011,0.6248,0.4279,0.2543,0.1303,0.0575,1.25,1.6,2.34,3.93,7.67,17.41
665152,"Kremer, Dean",55,24,0.2167,5.2,0.7962,0.6191,0.423,0.2513,0.1291,0.0572,1.26,1.62,2.36,3.98,7.75,17.48
669160,"May, Dustin",38,24,0.2161,5.19,0.7942,0.6162,0.4201,0.2488,0.1274,0.0563,1.26,1.62,2.38,4.02,7.85,17.76
668678,"Gallen, Zac",74,24,0.2161,5.19,0.7943,0.6165,0.4203,0.249,0.1276,0.0564,1.26,1.62,2.38,4.02,7.84,17.74
640455,"Manaea, Sean",56,21,0.2473,5.19,0.8006,0.6218,0.422,0.2469,0.1236,0.0528,1.25,1.61,2.37,4.05,8.09,18.95
605397,"Musgrove, Joe",19,22,0.2358,5.19,0.7977,0.6189,0.4204,0.2469,0.1246,0.0538,1.25,1.62,2.38,4.05,8.03,18.58
