Pitcher,Opponent,Line,Pick,Exp_KS,Actual_KS,Batters_Faced,Bet_Result,Pred_Error,Grade,Flagged,Notes
Zac Gallen,St. Louis Cardinals,3.5,UNDER,2.35,,,,,A,YES,FILL IN ACTUAL RESULTS
Bubba Chandler,Seattle Mariners,4.5,UNDER,4.11,,,,,A,YES,
Michael McGreevy,Arizona Diamondbacks,2.5,UNDER,2.45,,,,,A,YES,
Matthew Boyd,New York Mets,4.5,OVER,5.20,,,,,A,YES,
Cam Schlitter,Boston Red Sox,6.5,OVER,6.80,,,,,B,YES,
Christopher Sánchez,Washington Nationals,6.5,OVER,6.58,,,,,B,YES,
Cade Cavalli,Philadelphia Phillies,4.5,UNDER,5.01,,,,,C,YES,
Troy Melton,Houston Astros,4.5,UNDER,3.59,,,,,C,YES,
Jeffrey Springs,San Francisco Giants,4.5,UNDER,4.42,,,,,C,YES,
Kevin Gausman,Texas Rangers,6.5,OVER,6.05,,,,,,NO,
MacKenzie Gore,Toronto Blue Jays,4.5,UNDER,5.26,,,,,,NO,
Freddy Peralta,Chicago Cubs,5.5,UNDER,4.54,,,,,,NO,
Tatuya Imai,Detroit Tigers,5.5,UNDER,5.06,,,,,,NO,
Connelly Early,New York Yankees,5.5,OVER,6.13,,,,,,NO,
Landen Roupp,Athletics,6.5,UNDER,5.83,,,,,,NO,

Instructions:
1. Go to MLB.com or Baseball Reference for 2026-06-23 game results
2. Fill in Actual_KS column with strikeouts pitched
3. Fill in Batters_Faced if available
4. Calculate Bet_Result: WIN if (OVER and actual>line) or (UNDER and actual<line), LOSS otherwise, PUSH if exact
5. Calculate Pred_Error: abs(Exp_KS - Actual_KS)
6. Then run: python validate_june23_results.py

This will show:
- App betting hit rate (flagged bets only)
- Pure prediction MAE (all pitchers)
- Whether flagged bets were more/less accurate than unflagged
